Time:64Hz,Epoch,Noise 1,Noise 2,Event Id,Event Date,Event Duration
0.0000000000,0,-0.6774379713,-1.6818768913,,,
0.0156250000,0,-1.4026279241,0.6832972983,,,
0.0312500000,0,-1.0914294975,0.2791531903,,,
0.0468750000,0,0.1383431585,0.4037556069,,,
0.0625000000,0,-1.3689999094,1.3176098827,,,
0.0781250000,0,0.8939007527,0.6650020951,,,
0.0937500000,0,-0.7074649253,1.0927840533,,,
0.1093750000,0,2.3668007057,-1.1622170144,,,
0.1250000000,0,-0.4472709527,-0.7240158115,,,
0.1406250000,0,-1.4307703099,0.6865516887,,,
0.1562500000,0,1.8933885139,0.8199974167,,,
0.1718750000,0,-2.0786511524,-1.2203453781,,,
0.1875000000,0,1.4973307444,0.0255510716,,,
0.2031250000,0,1.7561540821,-1.3230369845,,,
0.2187500000,0,-0.7363370314,-0.1737867794,,,
0.2343750000,0,1.0545201709,1.1013708399,,,
0.2500000000,0,-1.7621491633,-1.3636728909,,,
0.2656250000,0,-0.4340464379,0.5076098937,,,
0.2812500000,0,-1.1570480797,0.6197451079,,,
0.2968750000,0,-0.1269157650,0.1930273700,,,
0.3125000000,0,-1.7360900301,-0.9594750323,,,
0.3281250000,0,0.8131820375,0.1504741369,,,
0.3437500000,0,-0.9085365033,-0.6519261164,,,
0.3593750000,0,0.5886554211,0.0132964639,,,
0.3750000000,0,-0.3206256432,-0.1263094190,,,
0.3906250000,0,-1.9721197992,-0.1695379687,,,
0.4062500000,0,-0.6259480309,-0.1926434365,,,
0.4218750000,0,-0.3473315558,1.7811521423,,,
0.4375000000,0,0.4535725556,-1.2550964257,,,
0.4531250000,0,0.1022113432,0.6118075131,,,
0.4687500000,0,1.7507173068,-0.3697506701,,,
0.4843750000,0,0.1832166359,-0.1999963793,,,
0.5000000000,1,1.0124209355,-0.5662994621,,,
0.5156250000,1,-1.1749041194,1.1921930966,,,
0.5312500000,1,-0.4362324564,0.0955323427,,,
0.5468750000,1,-0.4805783703,0.0097117703,,,
0.5625000000,1,-0.2879702728,-1.2219465344,,,
0.5781250000,1,1.1543072201,-0.1894538977,,,
0.5937500000,1,1.8324582310,-1.4297148193,,,
0.6093750000,1,0.7850862282,0.1954890991,,,
0.6250000000,1,-0.1915955880,0.6122538423,,,
0.6406250000,1,-0.5391906743,-1.5618910682,,,
0.6562500000,1,-1.3172074572,0.5450254990,,,
0.6718750000,1,1.1214655232,0.1985932038,,,
0.6875000000,1,-1.7204497532,-0.9508063692,,,
0.7031250000,1,0.3310749330,1.6170443414,,,
0.7187500000,1,-0.0377999374,-0.2187899653,,,
0.7343750000,1,-0.2372615380,1.0166415422,,,
0.7500000000,1,1.3127865358,0.1733738335,,,
0.7656250000,1,0.4585448233,2.0049771390,,,
0.7812500000,1,-1.9155804583,2.0598767894,,,
0.7968750000,1,-1.6706282998,0.4359123182,,,
0.8125000000,1,-0.3197741199,-0.3877827764,,,
0.8281250000,1,1.2967143332,-2.2006232290,,,
0.8437500000,1,1.0071125612,-0.3003028488,,,
0.8593750000,1,-0.4648955862,0.2070668242,,,
0.8750000000,1,-0.7268076451,-1.5714715935,,,
0.8906250000,1,0.2971018673,-0.3425980090,,,
0.9062500000,1,1.7643479277,1.3420394213,,,
0.9218750000,1,1.5148458231,-1.2150925717,,,
0.9375000000,1,-1.9114293405,0.7915158189,,,
0.9531250000,1,0.5007078259,-0.6542012447,,,
0.9687500000,1,-0.4590616981,-0.6904275496,,,
0.9843750000,1,0.5098324678,0.3864489387,,,
1.0000000000,2,0.6325517650,0.3137724677,,,
